Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10 uF,
"C2, C3, C7, C8, C9",0805,5,.1 uF,
C4,0805,1,18 pF,
"C5, C6",0805,2,22 uF,
D1,1206,1,BLUE LED SMD 1206,
D2,1206,1,RED LED SMD 1206,
D3,1206,1,GREEN LED SMD 1206,
"J1, J2",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
L1,WE-LHMI_7050,1,4.7 uH,
Q1,SOT-23,1,2N7002,
"R1, R4",0805,2,100K,
R2,0805,1,220K,
R3,0805,1,30K,
"R5, R6, R7",0805,3,1K,
U1,SOT-563,1,TPS563206DRLR,
U2,SOIC-8W_5.3x5.3mm_P1.27mm,1,ATtiny85V-10S,
U3,SO-8_3.9x4.9mm_P1.27mm,1,AP2152A,
